Tsadi-final,Kaf,Shin,Ayin,Tsadi-medial,Kaf,Ayin,Shin,Tsadi-final,Pe
He,Lamed,Mem,Zayin,Ayin,Qof,Het,Bet,Waw,Resh
Gimel,Nun-final,Zayin,He,Pe-final,Het,Tet,Bet,Pe-final,Ayin
Mem-medial,He,Mem,Tsadi-medial,Mem-medial,Tsadi-final,Kaf,Mem,Nun-medial,Nun-medial
Nun-final,Pe-final,Lamed,Tsadi-medial,Mem-medial,Alef,Alef,Tet,Pe-final,Mem-medial
Pe,Yod,Yod,Lamed,Waw,Ayin,Dalet,Het,Tet,Kaf-final
Tsadi-medial,Samekh,Dalet,Lamed,Dalet,Taw,Tet,Tsadi-medial,He,Taw
Waw,Tsadi-final,Tsadi-final,Shin,Ayin,Gimel,Pe,Shin,Mem,Waw
Bet,Pe-final,Mem-medial,Lamed,Qof,Nun-final,Waw,Kaf,Bet,Pe-final
Resh,Yod,Samekh,Lamed,Kaf,Yod,Samekh,Bet,Yod,Nun-final
Resh,Nun-medial,Kaf-final,Ayin,Gimel,Kaf,Alef,Tsadi-final,Qof,Dalet
Bet,Samekh,Alef,Tet,Mem,Alef,Nun-medial,Mem,Kaf-final,Nun-medial
Tsadi-medial,Dalet,Pe,Yod,Dalet,Gimel,Pe,Alef,Kaf,Mem
Alef,Mem,Tsadi-final,Qof,Alef,Qof,Pe,Resh,Gimel,Taw
Ayin,Alef,Dalet,Yod,Pe-final,Pe,Nun-medial,Qof,Taw,Kaf-final
